********************************************************************
*                                                                  *
* Surface Mount Top Report                                         *
*                                                                  *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\23-325-0\23-325-0.MAX  *
* Mon Jul 29 15:28:08 2024                                         *
*                                                                  *
********************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X INSERT   Y INSERT   ROTATION
------------------------------------------------------------------------------------------------------------
513                                          02.RIF-MONT-SMD                 13.34 mm   121.29 mm 0       
514                                          02.RIF-MONT-SMD                 78.74 mm   123.19 mm 0       
515                                          02.RIF-MONT-SMD                 1.27 mm    6.35 mm   0       
BZ1        KTG0905CL        BZ               KTG0905CL-KINGSTATE             32.39 mm   27.31 mm  270     
R144       33K              R                SMD0603                         56.52 mm   34.29 mm  270     
R145       33K              R                SMD0603                         54.61 mm   34.29 mm  270     
R146       33K              R                SMD0603                         59.06 mm   26.04 mm  270     
R147       33K              R                SMD0603                         53.98 mm   26.04 mm  270     
R148       33K              R                SMD0603                         48.90 mm   26.04 mm  270     
R149       4K7              R                SMD0603                         26.04 mm   18.42 mm  270     
R150       3K3              R                SMD0603                         24.13 mm   14.61 mm  270     
R151       1K               R                SMD0603                         27.31 mm   38.74 mm  180     
R152       10K              R                SMD0603                         29.21 mm   48.26 mm  180     
R153       330R             R                SMD0603                         29.21 mm   50.17 mm  0       
R154       68K              R                SMD0603                         23.50 mm   32.39 mm  0       
R155       680R             R                SMD0603                         24.13 mm   36.83 mm  180     
R156       100R             R                SMD1206                         55.25 mm   89.54 mm  180     
R157       100R             R                SMD1206                         55.25 mm   92.71 mm  0       
SW1        DTSM-32S-B       PB               DTSM-32S-B                      12.07 mm   105.41 mm 180     
SW2        DTSM-32S-B       PB               DTSM-32S-B                      12.07 mm   92.71 mm  180     
SW3        DTSM-32S-B       PB               DTSM-32S-B                      12.07 mm   80.65 mm  180     
SW4        DTSM-32S-B       PB               DTSM-32S-B                      12.07 mm   99.06 mm  180     
SW5        DTSM-32S-B       PB               DTSM-32S-B                      12.07 mm   86.36 mm  180     
SW6        DTSM-32S-B       PB               DTSM-32S-B                      12.07 mm   74.93 mm  180     
TVS1       SMBJ30A          SMBJ_1           SMB-12                          24.77 mm   113.03 mm 270     
TVS2       SMBJ30A          SMBJ_1           SMB-12                          19.05 mm   113.03 mm 270     
TVS3       SMBJ30A          SMBJ_1           SMB-12                          13.97 mm   113.03 mm 270     
TVS4       PESD12VS1UL      SMBJ_1           SOD882D-1_2                     38.74 mm   114.30 mm 270     
TVS5       PESD12VS1UL      SMBJ_1           SOD882D-1_2                     36.83 mm   114.30 mm 270     
TVS6       PESD12VS1UL      SMBJ_1           SOD882D-1_2                     34.93 mm   114.30 mm 270     
TVS7       PESD12VS1UL      SMBJ_1           SOD882D-1_2                     33.02 mm   114.30 mm 270     
TVS8       PESD12VS1UL      SMBJ_1           SOD882D-1_2                     31.12 mm   114.30 mm 270     
TVS9       PESD12VS1UL      SMBJ_1           SOD882D-1_2                     29.21 mm   114.30 mm 270     
TVS10      PESD5V0C1ULS-QYL SMBJ_1           SOD882BD-1_2                    34.29 mm   109.86 mm 180     
TVS11      PESD5V0C1ULS-QYL SMBJ_1           SOD882BD-1_2                    40.64 mm   114.30 mm 270     
TVS12      PESD5V0C1ULS-QYL SMBJ_1           SOD882BD-1_2                    27.31 mm   114.30 mm 270     
